Sample_ID,Mouse_ID,Timepoint,Genotype,Grouped.genotype,OTU1,OTU2,OTU3,OTU4,OTU5,OTU6,OTU7,OTU8,OTU9,OTU10,OTU11,OTU12,OTU13,OTU14,OTU15,OTU16,OTU17,OTU18,OTU19,OTU20,OTU21,OTU22,OTU23,OTU24,OTU25,OTU26,OTU27,OTU28,OTU29,OTU30,OTU31,OTU32,OTU33,OTU34,OTU35,OTU36,OTU37,OTU38,OTU39,OTU40,OTU41,OTU42,OTU43,OTU44,OTU45,OTU46,OTU47,OTU48,OTU49,OTU50,OTU51,OTU52,OTU53,OTU54
ACKGx348W0,ACKGx348,W0,ACK,ACK/G,1719,964,1819,292,0,0,366,0,3844,68,876,131,558,43,16,13,21,1421,3104,10469,4,44,2,15,849,2737,1134,35,243,5,368,939,900,0,0,3,32,5,9,110,193,120,22,1302,42,11,22,14,534,554,133,18,33,459
ACKGx396W0,ACKGx396,W0,ACKG,ACK/G,749,176,563,240,0,0,82,0,567,11,974,70,305,9,10,4,5,579,1327,1723,0,3,0,11,225,495,115,120,87,0,162,159,990,2,0,0,10,0,0,100,73,59,38,353,59,7,2,0,87,259,47,0,6,153
ACKGx415W0,ACKGx415,W0,ACK,ACK/G,901,1977,3521,334,0,23,173,0,4136,42,466,127,573,18,20,78,2,1215,2720,303,0,17,0,27,807,905,1219,39,109,0,685,776,1056,3,0,0,0,6,0,313,281,65,30,1200,62,10,54,0,370,831,493,39,47,114
ACKGx420W0,ACKGx420,W0,ACK,ACK/G,1569,740,5061,296,0,12,199,2,1441,56,451,176,302,41,19,7,9,1305,2838,2185,0,15,0,25,694,2287,318,36,123,0,320,490,1286,4,0,0,0,5,35,215,290,128,53,811,30,0,14,0,937,561,162,19,5,288
HACKGx182W0,HACKGx182,W0,HACK,HACK/G,679,2186,1549,109,4,0,30,0,2763,48,250,15,1199,11,0,2,3,469,802,3997,0,28,0,0,3165,2918,894,59,24,0,305,192,1022,0,0,0,0,0,0,316,251,44,0,220,6,0,182,0,62,1367,224,0,33,14
HACKGx185W0,HACKGx185,W0,HACK,HACK/G,471,1329,1965,164,0,12,34,0,2550,31,400,67,2020,15,5,53,12,962,1411,204,3,0,3,0,1889,2406,759,100,26,0,402,353,584,0,0,8,0,10,0,429,404,50,30,477,45,0,110,0,0,1139,106,0,133,25
HACKGx282W0,HACKGx282,W0,HACKG,HACK/G,11859,6079,6516,516,0,25,154,24,13354,294,3102,332,1981,143,17,20,53,1488,4715,80471,23,62,9,63,1452,2234,881,260,194,0,1129,439,5377,0,0,88,0,527,158,1388,2558,840,25,1095,106,15,92,0,11620,6570,893,16,37,41
HACKGx306W0,HACKGx306,W0,HACK,HACK/G,517,376,1555,204,12,4,84,0,1477,19,288,69,371,29,3,6,7,572,1136,23023,0,10,0,8,520,1424,190,45,44,0,255,129,318,2,0,11,0,60,7,235,4429,0,48,294,45,0,21,10,2149,427,98,0,0,156
HACKGx321W0,HACKGx321,W0,HACK,HACK/G,3507,779,2631,174,0,14,94,0,3152,117,823,61,507,13,12,0,25,744,1199,4680,0,13,0,13,2730,3345,234,45,65,0,289,117,3660,0,0,13,0,229,0,184,705,250,28,588,22,0,38,4,2255,432,242,0,4,10
HACKGx331W0,HACKGx331,W0,HACKG,HACK/G,3529,1681,5011,377,10,11,105,207,6620,174,852,168,1041,80,18,3,36,2280,3017,35806,3,38,0,44,1242,5167,2206,106,345,8,1472,1055,975,4,0,4,0,202,0,203,1488,314,40,818,97,12,54,0,917,712,189,1214,44,285
HACKGx342W0,HACKGx342,W0,HACKG,HACK/G,2342,1621,4569,312,0,10,97,0,3688,63,401,169,693,34,13,0,14,1609,2539,2373,0,8,2,13,2559,4820,1265,163,109,0,335,445,3477,5,0,0,0,85,0,379,265,158,34,762,63,0,60,0,925,401,200,0,48,493
HACKGx344W0,HACKGx344,W0,WT,WT,1070,143,2566,239,0,7,73,0,1108,30,117,160,453,29,13,0,17,762,1542,526,0,0,5,24,628,1060,1240,62,140,0,488,166,252,4,0,0,0,111,0,68,78,118,46,611,29,0,26,0,94,49,16,0,10,28
HACKGx353W0,HACKGx353,W0,HACKG,HACK/G,3665,529,745,34,0,0,39,9,2044,21,252,7,227,6,3,16,6,239,395,8224,0,17,2,0,321,574,164,5,21,0,81,196,609,0,0,6,0,145,20,102,3084,292,0,132,6,0,7,0,2458,748,113,0,6,7
HACKGx358W0,HACKGx358,W0,HACKG,HACK/G,2968,490,1003,201,3,0,62,0,1965,60,276,32,555,21,6,11,12,777,941,2126,0,8,5,11,452,1172,960,5,81,0,73,113,430,0,0,0,0,0,4,226,232,231,31,338,23,0,61,0,430,443,195,0,16,12
HACKGx364W0,HACKGx364,W0,WT,WT,3406,607,1135,42,0,0,24,0,1816,31,313,28,713,0,3,17,10,432,631,1005,0,5,0,5,201,1847,164,106,29,0,213,115,1172,2,0,4,0,0,9,162,158,287,7,224,15,0,32,17,86,806,71,0,10,7
HACKGx389W0,HACKGx389,W0,WT,WT,5506,3134,10795,822,0,17,816,3,9848,169,4476,457,1641,301,30,52,145,3509,9245,19805,9,54,8,90,424,7753,3430,398,428,10,754,652,558,12,23,363,0,29,68,821,886,366,105,3627,560,38,192,9,1445,3952,680,33,74,949
HACKGx395W0,HACKGx395,W0,WT,WT,522,439,5033,289,0,5,114,12,1463,31,626,158,73,61,12,9,18,870,1757,943,0,5,0,27,98,1045,160,14,25,0,264,327,5,5,0,0,0,223,0,277,314,43,114,764,15,0,17,0,68,253,36,0,34,236
HACKGx396W0,HACKGx396,W0,WT,WT,1341,334,3959,323,0,10,99,7,1349,34,599,94,425,103,14,48,17,1120,1834,835,30,6,3,29,164,1143,231,96,103,0,265,182,35,4,0,14,0,102,2,267,287,99,59,581,111,6,29,0,134,577,57,3,8,352
HACKGx417W0,HACKGx417,W0,HACKG,HACK/G,29542,5339,10508,1265,0,12,342,30,17001,101,3231,344,1765,140,19,71,35,2956,4326,19126,4,41,7,33,1386,7549,1685,589,247,7,810,536,12383,0,17,7,0,10,25,986,363,2516,55,2009,113,15,153,32,162,5059,483,91,74,136
HACKGx419W0,HACKGx419,W0,WT,WT,1349,393,1286,260,0,0,148,0,858,16,246,128,139,32,7,6,11,1151,1579,893,0,14,0,19,162,1087,434,39,100,0,172,196,151,0,0,0,0,20,2,49,126,94,10,435,34,6,6,0,100,140,31,0,4,314
ACKGx348W1,ACKGx348,W1,ACK,ACK/G,5445,1945,1254,17,44,119,346,3423,5696,394,91,56,32056,33,35,20,185,230,2298,117979,10,11,12,61,12065,2867,948,20,118,0,489,5051,4513,32,30,0,17,1411,0,67,79732,390,9,1648,39,0,347,675,950,1087,68,24480,276,158
ACKGx396W1,ACKGx396,W1,ACKG,ACK/G,13,105,20,0,3,0,10,217,566,9,6,0,115,0,3,0,6,0,32,9600,0,0,0,0,26,33,106,0,0,0,15,243,0,0,0,0,0,142,0,16,800,0,0,35,0,0,5,0,758,126,4,911,29,25
ACKGx415W1,ACKGx415,W1,ACK,ACK/G,514,1096,337,4,0,26,56,115,1056,21,44,16,273,34,2,4,10,198,505,8269,4,3,7,19,83,1177,40,6,18,0,75,1340,223,11,0,0,0,18,0,71,5465,0,0,704,0,0,11,4,253,419,27,6455,56,25
ACKGx420W1,ACKGx420,W1,ACK,ACK/G,764,582,304,39,0,11,76,155,887,16,38,20,160,17,6,2,0,107,628,12168,0,0,0,12,85,480,64,0,33,0,192,194,186,8,0,6,0,45,0,21,2708,56,0,341,0,0,4,0,346,158,25,2841,10,67
HACKGx182W1,HACKGx182,W1,HACK,HACK/G,141,1316,1092,5,44,21,154,235,1286,40,106,59,863,14,3,3,36,954,545,4137,0,5,5,19,850,1157,28,0,26,0,17,1298,42,0,0,0,0,47,0,10,2223,0,0,289,0,0,15,0,44,587,87,0,174,195
HACKGx185W1,HACKGx185,W1,HACK,HACK/G,191,1059,501,3,37,5,102,62,213,50,30,18,652,29,0,0,8,1238,301,5847,5,0,0,8,1906,867,79,6,4,10,63,1068,109,2,0,0,0,50,4,29,1018,0,0,232,0,0,14,6,31,197,39,0,4,81
HACKGx282W1,HACKGx282,W1,HACKG,HACK/G,913,1483,610,15,8,55,107,494,1035,21,64,23,298,39,0,0,20,103,491,10330,3,5,3,0,208,861,236,0,27,0,97,635,108,7,0,3,0,292,6,9,4996,72,0,138,15,0,6,0,306,526,16,0,47,71
HACKGx306W1,HACKGx306,W1,HACK,HACK/G,230,1139,158,2,27,13,22,306,708,18,14,0,424,12,0,0,0,54,311,12077,0,0,0,6,309,176,42,5,4,0,14,480,137,0,0,0,0,236,0,43,3480,0,0,83,0,0,4,13,423,122,28,3,25,3
HACKGx321W1,HACKGx321,W1,HACK,HACK/G,65,345,234,9,180,4,21,530,1782,29,78,18,208,0,2,3,14,59,220,5236,0,0,0,0,300,170,87,0,3,0,7,580,37,0,0,0,0,103,4,41,7282,0,0,62,10,0,16,33,381,195,64,2,86,14
HACKGx331W1,HACKGx331,W1,HACKG,HACK/G,626,4063,2607,34,734,158,710,6956,18423,197,176,28,644,55,4,9,225,369,1084,79955,9,127,10,10,2057,886,358,3,109,5,23,3271,22,48,0,0,0,3843,2,70,27369,46,0,808,7,0,44,152,2552,351,9,12,335,969
HACKGx342W1,HACKGx342,W1,HACKG,HACK/G,79,186,246,10,674,39,88,358,529,10,44,24,215,44,0,0,7,34,418,1533,0,0,0,4,198,342,16,0,3,0,14,2281,21,0,0,0,0,17,0,14,2261,0,0,57,0,0,11,53,86,408,35,9,79,85
HACKGx344W1,HACKGx344,W1,WT,WT,205,535,587,10,534,30,16,197,1049,13,9,22,857,12,0,33,18,54,190,1006,0,5,0,0,729,721,80,0,0,0,130,2453,42,0,0,0,0,32,3,24,12095,0,0,137,0,0,39,73,117,268,149,0,9,0
HACKGx353W1,HACKGx353,W1,HACKG,HACK/G,29,308,177,0,5,0,90,421,736,6,24,0,137,10,0,4,0,36,269,7385,0,2,0,0,201,156,14,0,7,0,0,382,0,0,0,0,0,442,3,9,2775,0,0,100,0,0,3,0,855,182,4,0,137,35
HACKGx358W1,HACKGx358,W1,HACKG,HACK/G,45,13,11,0,0,0,31,39,104,42,0,0,39,0,0,0,0,0,8,11734,0,0,0,0,70,25,6,0,0,0,3,150,0,0,0,0,0,0,0,3,3580,0,0,0,0,0,6,4,540,0,0,5,0,6
HACKGx364W1,HACKGx364,W1,WT,WT,4853,2696,4620,143,0,283,585,31,11767,82,326,339,8857,33,44,391,110,876,3791,59603,3,32,22,28,2563,998,316,78,230,6,320,8746,1111,0,23,5,0,44,83,427,25671,284,18,1294,162,0,348,67,4528,1176,323,27,125,117
HACKGx389W1,HACKGx389,W1,WT,WT,257,248,197,7,8,0,20,81,1303,14,8,10,300,0,0,7,4,40,191,8129,0,7,2,2,564,405,44,0,0,0,0,428,37,0,0,0,0,45,0,51,3310,0,8,90,0,0,6,25,173,71,87,0,4,0
HACKGx395W1,HACKGx395,W1,WT,WT,32,101,80,0,9,0,0,101,705,4,7,11,115,0,0,7,0,104,65,4487,0,0,0,0,27,216,47,0,0,0,0,387,0,0,0,0,0,360,0,12,3015,0,0,25,0,0,6,12,340,20,10,0,6,0
HACKGx396W1,HACKGx396,W1,WT,WT,137,246,2421,42,120,27,159,101,1537,9,235,91,455,30,5,42,18,682,1607,7146,0,9,0,13,235,609,50,30,72,0,212,435,0,3,89,0,0,402,20,112,2200,0,0,355,0,0,14,6,454,139,133,0,17,66
HACKGx417W1,HACKGx417,W1,HACKG,HACK/G,103,983,370,8,916,14,36,60,523,10,13,0,216,0,0,0,3,424,356,4376,6,4,6,5,159,624,195,0,19,0,39,488,6,0,65,0,0,210,2,44,1543,0,0,118,0,0,0,33,325,10,22,4,22,79
HACKGx419W1,HACKGx419,W1,WT,WT,136,115,790,30,0,9,58,63,1187,12,57,27,280,4,0,20,8,161,700,7458,0,0,0,8,147,890,31,0,53,0,61,388,0,0,0,0,0,306,0,43,3615,0,0,93,12,0,14,0,798,66,64,0,4,13
ACKGx348W3,ACKGx348,W3,ACK,ACK/G,1239,435,1624,53,0,6,91,0,986,14,773,60,594,10,16,13,0,334,1382,2298,0,2,0,13,612,1060,27,17,105,0,277,566,735,0,0,8,14,14,0,86,217,108,0,214,34,0,19,0,152,331,142,8,10,90
ACKGx396W3,ACKGx396,W3,ACKG,ACK/G,134,430,894,40,2,15,54,26,1764,38,1741,159,48,8,15,17,8,1048,888,4259,0,10,0,21,58,725,72,33,151,0,329,146,453,0,0,0,13,4,15,61,1116,0,38,195,12,0,6,0,529,380,75,0,64,103
ACKGx415W3,ACKGx415,W3,ACK,ACK/G,112,895,1255,67,0,0,70,0,1430,17,470,50,282,30,6,2,8,937,899,1213,0,11,0,18,55,908,115,21,73,0,413,797,277,3,0,5,0,6,0,96,956,0,0,350,10,4,8,0,105,446,84,7,29,154
ACKGx420W3,ACKGx420,W3,ACK,ACK/G,199,884,418,19,0,0,30,71,913,39,143,0,134,10,3,0,3,173,375,4011,0,7,0,4,85,453,43,5,0,0,125,371,233,3,0,0,0,121,0,25,1601,0,20,82,0,0,0,0,323,315,49,2297,28,60
HACKGx182W3,HACKGx182,W3,HACK,HACK/G,18427,8514,13824,600,0,70,502,11,8578,88,4581,328,2613,98,34,15,31,2115,9693,9761,7,98,7,144,6474,9553,924,303,764,0,3428,1807,5702,22,12,157,0,4,7,296,3281,1418,58,1737,185,20,87,0,479,3828,2209,6568,66,512
HACKGx185W3,HACKGx185,W3,HACK,HACK/G,3227,1829,1333,38,0,11,86,0,2419,28,591,15,1228,25,10,16,7,83,929,749,0,21,0,18,1179,1091,330,22,73,0,378,885,1355,2,26,13,0,0,2,207,1275,241,0,331,14,0,32,3,50,1014,300,1704,53,58
HACKGx282W3,HACKGx282,W3,HACKG,HACK/G,2702,4876,6754,195,16,51,387,52,11439,210,2493,301,2356,163,61,36,76,1229,7007,66381,33,64,0,196,5375,9026,506,191,488,0,3365,7288,7030,11,14,88,0,241,53,481,31974,208,86,1737,81,24,51,13,4698,4410,259,47722,151,540
HACKGx306W3,HACKGx306,W3,HACK,HACK/G,11077,6494,26355,1195,120,223,1443,46,17956,511,9206,1133,1434,450,196,46,162,16748,22077,54781,15,223,13,313,2356,8794,3852,994,1413,27,7342,6856,3695,87,0,159,0,117,89,1545,14374,839,167,4210,70,68,106,25,8486,7499,920,9,222,1097
HACKGx321W3,HACKGx321,W3,HACK,HACK/G,2656,896,1159,39,0,11,30,158,1901,24,154,17,183,16,7,0,8,138,540,5296,0,0,0,21,31,861,344,3,28,0,323,82,325,0,0,0,0,357,5,80,4204,191,4,195,0,0,0,0,1887,310,63,2507,13,45
HACKGx331W3,HACKGx331,W3,HACKG,HACK/G,126,1520,1852,58,14,9,134,10,1346,22,430,20,435,31,12,0,7,709,1159,1580,5,0,0,19,208,778,244,18,90,0,639,535,861,9,0,0,0,0,0,126,1473,0,0,389,10,0,3,0,147,108,88,8,3,196
HACKGx342W3,HACKGx342,W3,HACKG,HACK/G,9766,2206,3227,84,7,9,172,45,2668,68,497,100,1002,48,18,0,41,1940,1988,8651,0,20,0,42,1066,3044,706,30,199,6,1268,1543,1574,7,0,0,0,77,31,184,6555,574,70,854,10,9,8,0,1697,987,138,7584,42,150
HACKGx344W3,HACKGx344,W3,WT,WT,18252,1182,4979,248,14,15,113,0,2565,22,516,194,872,47,11,10,6,1505,1874,714,4,9,0,43,186,2675,515,28,111,0,826,316,943,2,0,14,0,77,6,491,2289,1116,21,527,57,0,22,7,1181,793,313,23,8,69
HACKGx353W3,HACKGx353,W3,HACKG,HACK/G,326,289,671,22,0,0,39,63,1191,18,262,78,158,0,0,16,4,548,816,9402,0,3,0,13,0,553,131,6,44,0,154,275,36,0,0,0,0,388,3,97,3554,0,11,261,25,0,4,0,1176,308,220,0,8,17
HACKGx358W3,HACKGx358,W3,HACKG,HACK/G,670,518,785,30,5,8,96,8,896,37,81,26,602,19,8,0,12,1205,553,2357,3,3,0,15,161,489,140,21,470,0,247,260,340,8,0,0,0,78,0,46,591,35,11,352,10,0,8,8,98,195,56,0,7,124
HACKGx364W3,HACKGx364,W3,WT,WT,607,417,1590,163,0,23,128,0,942,20,208,141,592,24,11,37,18,1137,2592,7979,0,14,0,27,634,746,143,195,91,0,846,112,690,4,0,0,0,14,0,134,277,48,8,539,35,0,11,0,346,415,38,0,10,268
HACKGx389W3,HACKGx389,W3,WT,WT,438,1183,4627,259,0,28,264,3,3288,34,1619,209,656,101,36,76,20,1570,3237,6306,0,20,0,38,1851,2010,517,264,307,0,789,243,1494,0,0,12,0,89,38,278,9096,0,20,452,110,23,14,0,2242,1928,269,57,6,108
HACKGx395W3,HACKGx395,W3,WT,WT,535,648,1397,43,12,5,24,157,2946,31,372,15,458,0,0,11,29,304,544,33122,0,11,0,8,1078,1835,227,13,15,0,99,393,252,0,0,29,0,990,0,102,7339,47,17,190,0,0,7,19,3839,1075,144,1626,33,0
HACKGx396W3,HACKGx396,W3,WT,WT,599,561,4213,203,0,17,108,31,2666,35,708,150,568,24,8,14,22,1260,2414,11567,0,11,0,22,1205,1496,697,104,192,0,733,305,180,5,22,20,0,251,5,192,2591,39,25,546,127,8,20,20,2308,382,84,18,11,57
HACKGx417W3,HACKGx417,W3,HACKG,HACK/G,240,671,2524,131,0,19,106,0,1590,0,853,144,347,30,18,7,0,782,1726,6131,0,8,2,12,1041,1178,232,153,130,0,446,106,1168,0,0,8,0,42,29,121,6493,0,9,317,58,16,11,0,1332,988,151,48,4,52
HACKGx419W3,HACKGx419,W3,WT,WT,223,235,1694,55,0,11,87,63,1783,42,301,154,740,36,17,7,15,548,1172,32299,0,5,0,17,1301,696,278,71,91,11,577,164,170,0,12,9,0,398,3,136,5073,0,0,463,46,0,20,25,2545,121,44,50,7,93
ACKGx348W7,ACKGx348,W7,ACK,ACK/G,20104,361,1298,30,15,0,61,41,2447,211,691,59,14789,26,40,10,15,1083,1985,17495,48,0,0,30,2228,1310,216,10,35,0,454,664,8124,3,14,7,4,2,0,203,11455,1324,52,1217,90,0,204,84,183,221,120,25,0,32
ACKGx396W7,ACKGx396,W7,ACKG,ACK/G,1862,1128,2117,45,5,4,77,260,4654,102,819,44,238,18,5,4,9,870,786,54681,5,27,0,11,1669,3157,1485,20,90,4,789,1797,1114,0,0,0,37,290,0,116,1860,168,9,337,10,0,9,0,3780,1406,126,108,9,471
ACKGx415W7,ACKGx415,W7,ACK,ACK/G,45,7534,5461,76,22,27,214,33,7388,65,2483,292,2439,12,48,109,56,3142,3981,633,0,35,7,193,2857,6208,105,56,315,0,2531,5089,9088,37,0,0,0,0,0,272,1226,0,0,1939,80,19,46,0,25,2518,628,44575,334,654
ACKGx420W7,ACKGx420,W7,ACK,ACK/G,651,6804,4955,198,0,31,376,5,5542,68,1509,174,2200,93,41,3,30,3094,4003,2039,4,26,0,122,1831,7271,463,71,268,0,2335,2923,6195,32,0,12,0,11,6,300,1193,0,0,1266,64,11,55,0,103,1913,261,27888,84,837
HACKGx182W7,HACKGx182,W7,HACK,HACK/G,14874,3955,15257,781,10,75,1076,0,7484,66,7643,347,4815,245,91,89,46,2063,13870,2574,4,49,5,184,1127,6662,532,388,567,0,3294,1966,3198,59,0,179,0,0,4,1168,2931,1019,87,2316,85,20,99,0,17,3028,641,1031,16,1468
