Sample_ID,Mouse_ID,Timepoint,Genotype,Grouped.genotype,OTU1,OTU2,OTU3,OTU4,OTU5,OTU6,OTU7,OTU8,OTU9,OTU10,OTU11,OTU12,OTU13,OTU14,OTU15,OTU16,OTU17,OTU18,OTU19,OTU20,OTU21,OTU22,OTU23,OTU24,OTU25,OTU26,OTU27,OTU28,OTU29,OTU30,OTU31,OTU32,OTU33,OTU34,OTU35,OTU36,OTU37,OTU38,OTU39,OTU40,OTU41,OTU42,OTU43,OTU44,OTU45,OTU46,OTU47,OTU48,OTU49,OTU50,OTU51,OTU52,OTU53,OTU54
ACKGx348W0,ACKGx348,W0,ACK,ACK/G,1719,964,1819,292,0,0,366,0,3844,68,876,131,558,43,16,13,21,1421,3104,10469,4,44,2,15,849,2737,1134,35,243,5,368,939,900,0,0,3,32,5,9,110,193,120,22,1302,42,11,22,14,534,554,133,18,33,459
ACKGx354W0,ACKGx354,W0,ACKG,ACK/G,11,645,680,146,0,8,25,0,1557,11,3005,53,1339,25,7,101,0,1154,1434,0,0,7,0,29,19,2271,202,25,82,0,560,593,6,0,0,13,0,0,5,275,87,0,26,709,27,8,17,0,0,934,327,0,6,83
ACKGx361W0,ACKGx361,W0,ACKG,ACK/G,428,337,1048,37,44,11,86,0,803,16,2108,164,1086,45,2,9,2,723,1403,31,3,12,5,10,231,1360,87,15,83,0,297,492,403,3,0,14,21,0,0,119,434,37,79,489,0,0,23,9,2,873,258,29,20,119
ACKGx382W0,ACKGx382,W0,ACKG,ACK/G,28501,5793,32319,871,0,136,505,0,23143,455,2136,562,18128,159,63,932,103,7882,13261,1932,24,47,20,107,16973,30506,6711,1857,682,0,3556,6226,48037,28,24,232,140,16,15,4097,4561,2236,230,4391,315,74,628,60,27,7865,4362,50,124,178
ACKGx396W0,ACKGx396,W0,ACKG,ACK/G,749,176,563,240,0,0,82,0,567,11,974,70,305,9,10,4,5,579,1327,1723,0,3,0,11,225,495,115,120,87,0,162,159,990,2,0,0,10,0,0,100,73,59,38,353,59,7,2,0,87,259,47,0,6,153
ACKGx397W0,ACKGx397,W0,ACK,ACK/G,2114,729,6208,190,0,0,158,0,3896,115,2235,227,1279,42,19,111,24,2337,3568,90,5,10,7,37,528,3008,278,152,289,0,962,706,1682,3,0,19,6,0,9,123,422,153,113,1141,84,18,10,7,0,993,198,6,16,327
ACKGx415W0,ACKGx415,W0,ACK,ACK/G,901,1977,3521,334,0,23,173,0,4136,42,466,127,573,18,20,78,2,1215,2720,303,0,17,0,27,807,905,1219,39,109,0,685,776,1056,3,0,0,0,6,0,313,281,65,30,1200,62,10,54,0,370,831,493,39,47,114
ACKGx420W0,ACKGx420,W0,ACK,ACK/G,1569,740,5061,296,0,12,199,2,1441,56,451,176,302,41,19,7,9,1305,2838,2185,0,15,0,25,694,2287,318,36,123,0,320,490,1286,4,0,0,0,5,35,215,290,128,53,811,30,0,14,0,937,561,162,19,5,288
HACKGx182W0,HACKGx182,W0,HACK,HACK/G,679,2186,1549,109,4,0,30,0,2763,48,250,15,1199,11,0,2,3,469,802,3997,0,28,0,0,3165,2918,894,59,24,0,305,192,1022,0,0,0,0,0,0,316,251,44,0,220,6,0,182,0,62,1367,224,0,33,14
HACKGx185W0,HACKGx185,W0,HACK,HACK/G,471,1329,1965,164,0,12,34,0,2550,31,400,67,2020,15,5,53,12,962,1411,204,3,0,3,0,1889,2406,759,100,26,0,402,353,584,0,0,8,0,10,0,429,404,50,30,477,45,0,110,0,0,1139,106,0,133,25
